v_name,rating,sentiment,authenticity,video_path,audio_path,text,offensive,offensiveness level,engagement_level,engagement_one_hot
v_6791863658646490373.mp4,4,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0]",./tiktok_data/video/v_6791863658646490373.mp4,./tiktok_data/audio_conv/v_6791863658646490373.npy,,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0]",1,"[1.0, 0.0, 0.0, 0.0, 0.0]"
v_6826906114173570310.mp4,2,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",./tiktok_data/video/v_6826906114173570310.mp4,./tiktok_data/audio_conv/v_6826906114173570310.npy," Comment down below anything you would like me to say with this voice. Whatever is the top comment, I will say in my next post.","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",4,"[0.0, 0.0, 0.0, 1.0, 0.0]"
v_6829217338605227270.mp4,2,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",./tiktok_data/video/v_6829217338605227270.mp4,./tiktok_data/audio_conv/v_6829217338605227270.npy," Since Samsung calls their phones Galaxy phones, does that mean security guards at Samsung stores are called guardians of the galaxy?","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",4,"[0.0, 0.0, 0.0, 1.0, 0.0]"
v_6836098623726488837.mp4,3,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",./tiktok_data/video/v_6836098623726488837.mp4,./tiktok_data/audio_conv/v_6836098623726488837.npy," Huh. I could cry. That's why I don't get a good option. I could be offended. Another good option. Actually, I don't even know.","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",4,"[0.0, 0.0, 0.0, 1.0, 0.0]"
v_6839900276971949317.mp4,5,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",./tiktok_data/video/v_6839900276971949317.mp4,./tiktok_data/audio_conv/v_6839900276971949317.npy," So, I had to break it to you guys, but I'm actually not the only tiktoker in Branson, Missouri. Apparently there's this guy named Nathaniel Hughes, and he has like 47,000 followers, and his family has a show here in Branson. In fact, he has a flyer right here. He's that guy in the white shirt in the middle. Yeah. But yeah, Nathaniel, if you're watching this, we both live in Branson, so we should do some sort of collab. And what type of collab you might ask? I don't know. You're the famous dude on the flyer. Oh wait, what's this? Oh, I'm also on a flyer. We're flyer, buddy.","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",3,"[0.0, 0.0, 1.0, 0.0, 0.0]"
v_6856079184591195397.mp4,5,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",./tiktok_data/video/v_6856079184591195397.mp4,./tiktok_data/audio_conv/v_6856079184591195397.npy," So my grandma just roasted me. So I'm at home with my grandma and my mom, and my grandma was talking to my mom about how my mom got married at 18. And so she mentioned that my mom was two years younger than I am now when she got married because I'm 20 years old. And so I was like, so are you saying that I should be married already? And she said, well, no, you need to get like a job established first to support a wife. But then she was like, well, actually, I guess more importantly, you need a girlfriend first. And I was like, dang, grandma.","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",2,"[0.0, 1.0, 0.0, 0.0, 0.0]"
v_6875396007593643269.mp4,3,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",./tiktok_data/video/v_6875396007593643269.mp4,./tiktok_data/audio_conv/v_6875396007593643269.npy," You'll order some merch if I go to McDonald's and order a Big Mac, but ask them to replace the patties with chicken. Uh, sure. Hi, can I please get a Big Mac? But can I replace the patties with chicken patties? I'm sorry, I don't even know how to do that. Oh really? Um, can I just get a Big Mac then and then can I get two McChickens? Just the patties? Yeah. So they couldn't replace the patties with chicken patties, so I just had to order them separately, and so I'm going to put them together. And you know what? I decided let's just keep the regular patties as well, and now we have a really big burger. This is very similar to the one I ordered before, but this one's bigger. Dude, this right here is a whole meal in and of itself. It's really big and it's good. I would recommend.","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",5,"[0.0, 0.0, 0.0, 0.0, 1.0]"
v_6945829571098856709.mp4,5,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",./tiktok_data/video/v_6945829571098856709.mp4,./tiktok_data/audio_conv/v_6945829571098856709.npy," They just keep teasing me And you know they play like they don't know Provoking me But this is all I know I need a hammer, a hammer, a hammer, a hammer To hammer them down I need a rammer, a rammer, a rammer, a rammer To rammer them down Suddenly a hammer, a hammer, a hammer, a hammer To rammer them down I need","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]",3,"[0.0, 0.0, 1.0, 0.0, 0.0]"
v_6946964289500499205.mp4,1,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]",./tiktok_data/video/v_6946964289500499205.mp4,./tiktok_data/audio_conv/v_6946964289500499205.npy," the punch story now. Okay, yes, I did in fact punch a customer while I was at work. So basically what happened is this group of two comes in to throw axes, they're probably in like, they're fifties or so it's husband and wife. And I'm coaching them during their axe throwing session, because that's what I do as an axe throwing coach. And at one point, the guy mentions that he's a personal trainer, I'm like, Okay, cool, awesome. Well, then after his axe throwing session, he comes up to me, he's like, Hey, I want to show you something. I'm like, Okay. And he's like, I'm going to tighten up. And I want you to hit me. I was like, what? And so he tightens his abs and he has me punch him in the stomach. And I'm like, What, why? But then he's like, you feel that I was like, Yeah. And he's like, I do 3000 crunches a day. I'm like, What? But yeah, that was really weird. But I guess that's like my greatest clickbait opportunity of my life.","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]",5,"[0.0, 0.0, 0.0, 0.0, 1.0]"
v_6974864510771416322.mp4,3,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",./tiktok_data/video/v_6974864510771416322.mp4,./tiktok_data/audio_conv/v_6974864510771416322.npy, 2.5L бутыл. 3.5L бутыл. 4.5L бутыл. 5.5L бутыл.,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",4,"[0.0, 0.0, 0.0, 1.0, 0.0]"
